Component,Description,Part,Designators,Footprint,SKU,MPN,PLACE,Cost,Quantity Per PCB,Cost Per PCB
1,,CERAMIC-100NF-50V-10%-X7R_0603_,C6 C7 C8 C9,C0603,302010138,CC0603KRX7R9BB104,DNP,$0.01 ,4,$0.00 
2,,CERAMIC-10UF-10V-10%-X5R_0603_,C4,C0603,302010103,CC0603KRX5R6BB106,,$0.02 ,1,$0.02 
3,,CERAMIC-1UF-25V-10%-X7R_0603_,C5,C0603,302010139,CC0603KRX7R8BB105,,$0.01 ,1,$0.01 
4,,CERAMIC-22UF-6.3V-20%-X5R_0805_,C2,C0805,302010171,CC0805MKX5R5BB226,,$0.02 ,1,$0.02 
5,,CERAMIC-22UF-6.3V-20%-X5R_0805_,C3,C0805,302010171,CC0805MKX5R5BB226,DNP,$0.02 ,1,$0.00 
6,,CERAMIC-4.7UF-10V-10%-X5R_0603_,C1,C0603,302010111,CC0603KRX5R6BB475,,$0.01 ,1,$0.01 
7,,LED-SMD-RED-DIFFUSED_0603_,D1,LED-0603,304090042,19-217-R6C-AL1M2VY-3T,,$0.01 ,1,$0.01 
8,,SMD-DIODE-SCHOTTKY-20V-1A_SOD-123_,D5 D6 D7 D8 D9 D11,SOD-123,304020034,B5819W,,$0.02 ,6,$0.12 
9,,SMD-Diode-TVS-3.3VMW-15V-SOD-523,D4 D10 D12 D13 D14,SOD-523,304060054,CJ;CESD3V3D5,,$0.02 ,5,$0.10 
10,,SMD-LED-CLEAR-BLUE_0603_,D2,LED-0603,304090045,19-217-BHC-ZL1M2RY-3T,,$0.01 ,1,$0.01 
11,,SMD-LED-CLEAR-GREEN_0603_,D3,LED-0603,304090043,19-217-G7C-AN1P2-3T,,$0.01 ,1,$0.01 
12,,2AA_Battery,J1,header_1x2,320180001,BH-321-1A,,$0.23 ,1,$0.23 
13,,DIP-BLACK-MALE-HEADER_6P-2.54_,J2,H6-2.54,320020078,P125-1106A1BS116A1,,$0.01 ,1,$0.01 
14,,DIP-SWITCH-TACTILE-SPST-NO_TS-1109_4P-D6.0MM_,K1 K2 K3 K4,SW4-6.0X6.0X5.0MM,311020024,TS-1109,,$0.01 ,4,$0.04 
15,,SMD-Inductor-4.7uH-20%-L0420,L1,L0805,303010015,SPD3D16-4R7M,,$0.19 ,1,$0.19 
16,,Mechanical_Mount,M1 M2 M3 M4,mounting_panhead6_5mm,N/A,N/A,DNP,$0.00 ,4,$0.00 
17,,SMD-MOSFET-P-CH-20V-2A-FDN340P_SOT-23_,Q1,SOT-23,305030026,FDN340P,,$0.12 ,1,$0.12 
18,,SMD-RES-0R-5%-1_10W_0603_,R2 R4 R13 R14 R15 R17 R21,R0603,301010292,RC0603JR-070RL,,$0.01 ,7,$0.07 
19,,SMD-RES-10K-1%-1_10W_0603_,R5 R9,R0603,301010299,RC0603FR-0710KL,,$0.01 ,2,$0.02 
20,,SMD-RES-10K-5%-1_10W_0603_,R3 R16 R19 R20 R22 R23 R24 R25 R26,R0603,301010293,RC0603JR-0710KL,,$0.01 ,9,$0.09 
21,,SMD-RES-10K-5%-1_10W_0603_,R18,R0603,301010293,RC0603JR-0710KL,DNP,$0.01 ,1,$0.00 
22,,SMD-RES-10R-5%-1_10W_0603_,R6 R7 R8,R0603,301010096,RC0603JR-0710RL,,$0.01 ,3,$0.03 
23,,SMD-RES-150K-1%-1_10W_0603_,R11,R0603,301010205,RC0603FR-07150KL,,$0.01 ,1,$0.01 
24,,SMD-RES-200R-5%-1_10W_0603_,R27 R28 R29 R30,R0603,301010218,RC0603JR-07200RL,,$0.01 ,4,$0.04 
25,,SMD-RES-20K-1%-1_10W_0603_,R10,R0603,301010288,RC0603FR-0720KL,,$0.01 ,1,$0.01 
26,,SMD-RES-261K-1%-1_10W_0603_,R12,R0603,,CRCW0603261KFKEA,,$0.04 ,1,$0.04 
27,,SMD-RES-51K-5%-1_10W_0603_,R1,R0603,301010145,RC0603JR-0751KL,,$0.01 ,1,$0.01 
28,,DIP-TOGGLE-SWITCH-ON-ON_3+2P-8.8X4.6MM_-90D,SW1,SW5-2.0-8.8X4.4X4.7MM-90D,311030008,3P-2.0-90D3P-2.0-90D-REINFORCE,,$0.01 ,1,$0.01 
29,,BOOST-MCP1642B-ADJI/MC-MSOP8,U2,MSOP-8_3x3mm_Pitch0.65mm,,MCP1642B-ADJI/MS,,$0.98 ,1,$0.98 
30,,CONTROLLER-ESP8266,U1,ESP-12F_SMT_22PIN,317060163,,,$2.14 ,1,$2.14 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,30,,,,,,,,,
Component Count:,68,,,,,,,,,
Fitted Components:,68,,,,,,,,,
Number of PCBs:,10,,,,,,,,,
Total components:,680,,,,,,,,,
Total Cost:,$4.35 ,,,,,,,,,
Schematic Version:,1,,,,,,,,,
Schematic Date:,9/10/2017,,,,,,,,,
BoM Date:,9/24/2017 14:47,,,,,,,,,
